ID,school,school_name,city,address,lat,lon,ndvi_mean,nlcd_canopy_mean,greenery_index_ndvi_nlcd,nlcd_high_canopy_frac,percent_eligible_frpm_k12
43694350102616,Carolyn A. Clark Elementary,Carolyn A. Clark Elementary,San Jose,3701 Rue Mirassou Drive,37.321714,-121.76937,0.2596464891199165,2.9891938889578933,0.4353610911198591,0.1992299093280338,0.183
43694356047120,Cadwallader Elementary,Cadwallader Elementary,San Jose,3799 Cadwallader Avenue,37.306698,-121.78763,0.2964518636725577,3.313991053677934,0.47885492605936425,0.2574552683896621,0.433
43694356047138,Evergreen Elementary,Evergreen Elementary,San Jose,3010 Fowler Road,37.310525,-121.77793,0.2575792949412173,4.576469126599577,0.46081150431221657,0.3955770903217791,0.153
43694356047146,Holly Oak Elementary,Holly Oak Elementary,San Jose,2995 Rossmore Way,37.31875,-121.79765,0.2178505460748926,1.5458271236959764,0.3673015714261744,0.13474913065077,0.537
43694356047153,Katherine R. Smith Elementary,Katherine R. Smith Elementary,San Jose,2025 Clarice Drive,37.326253,-121.82206,0.1348297406790998,0.3169276659209545,0.2605720186052171,0.0316927665920954,0.737
43694356047161,O. B. Whaley Elementary,O. B. Whaley Elementary,San Jose,2655 Alvin Avenue,37.31619,-121.82424,0.2800219772925086,0.4125761153224804,0.41155088414852425,0.041257611532248,0.679
43694356047179,Quimby Oak Middle,Quimby Oak Middle,San Jose,3190 Quimby Road,37.324774,-121.78708,0.2294692764757692,0.9868306621940616,0.3695387303871103,0.0951671015032923,0.305
43694356067193,Cedar Grove Elementary,Cedar Grove Elementary,San Jose,2702 Sugar Plum Drive,37.331164,-121.79361,0.2180174099222607,0.7914803775459515,0.35436762307904573,0.063338301043219,0.483
43694356085690,George V. LeyVa Intermediate,George V. LeyVa Intermediate,San Jose,1865 Monrovia Drive,37.314281,-121.81263,0.1695042559006657,0.8572493477450617,0.3056188461484827,0.0693253820350354,0.617
43694356095988,John J. Montgomery Elementary,John J. Montgomery Elementary,San Jose,2010 Daniel Maloney Drive,37.307734,-121.80108,0.2574625974664198,6.500372670807453,0.4941161990934681,0.4729192546583849,0.589
43694356102081,Norwood Creek Elementary,Norwood Creek Elementary,San Jose,3241 Remington Way,37.328173,-121.78862,0.2842928187552556,5.329607550919027,0.5013685159112192,0.3524590163934426,0.27
43694356105787,Millbrook Elementary,Millbrook Elementary,San Jose,3200 Millbrook Drive,37.319487,-121.78805,0.266904461227424,4.095876800794834,0.4620520841617612,0.3397913561847988,0.308
43694356110159,Chaboya Middle,Chaboya Middle,San Jose,3276 Cortona Drive,37.312333,-121.768,0.3962406372228744,2.9471984097403405,0.575106257310858,0.2247484159522922,0.1639999999999999
43694356111942,Silver Oak Elementary,Silver Oak Elementary,San Jose,5000 Farnsworth Drive,37.284241,-121.77369,0.4327396319770107,12.82238231275618,0.7842075074790497,0.6366910942740033,0.087
43694356115851,Tom Matsumoto Elementary,Tom Matsumoto Elementary,San Jose,4121 Mackin Woods Lane,37.312017,-121.76502,0.2489768309959584,3.772699043597068,0.43800044232191304,0.2952428269780151,0.133
43694356117956,James Franklin Smith Elementary,James Franklin Smith Elementary,San Jose,2220 Woodbury Lane,37.297368,-121.78799,0.2688949865788865,8.486150788721899,0.5403730589598035,0.7214010681902868,0.1009999999999999
43694500127225,College Connection Academy,College Connection Academy,San Jose,1855 Lucretia Avenue,37.320115,-121.84751,0.1999377293178706,4.209787604024344,0.39516185202458853,0.3339957769221214,0.653
43694506047195,Franklin Elementary,Franklin Elementary,San Jose,420 Tully Road,37.305453,-121.85107,0.1264339492105154,1.1955036641411008,0.26720153861600937,0.1037138243696435,0.8079999999999999
43694506047211,Captain Jason M. Dahl Elementary,Captain Jason M. Dahl Elementary,San Jose,3200 Water Street,37.288155,-121.84003,0.2397625616785141,4.442290967822091,0.4401574718778413,0.3554478817244377,0.856
43694506047229,Bridges Academy,Bridges Academy,San Jose,1702 Mclaughlin Avenue,37.325456,-121.84646,0.2493363976489065,4.306631892697467,0.4476464425692135,0.2619225037257824,0.894
43694506047237,G. W. Hellyer Elementary,G. W. Hellyer Elementary,San Jose,725 Hellyer Ave,37.284831,-121.82029,0.226476154569221,0.7549981373401219,0.3624328597049362,0.065565627716379,0.789
43694506047245,Jeanne R. Meadows Elementary,Jeanne R. Meadows Elementary,San Jose,1250 Taper Lane,37.320969,-121.83953,0.2182388280945812,1.7061234629238604,0.3704857737217897,0.1492982238231275,0.8109999999999999
43694506047252,Santee Elementary,Santee Elementary,San Jose,1313 Audubon Drive,37.328062,-121.84671,0.2118390922747535,2.151112215732572,0.37163518101982357,0.1962221946066857,0.899
43694506047260,Lairon College Preparatory Academy,Lairon College Preparatory Academy,San Jose,3975 Mira Loma,37.28238,-121.82885,0.2263661437520767,4.731304347826087,0.43140160282130274,0.4119254658385093,0.818
43694506047278,Sylvandale Middle,Sylvandale Middle,San Jose,653 Sylvandale Avenue,37.287864,-121.82531,0.2263594411176062,4.123711340206186,0.42083876547740745,0.3044342317724506,0.745
43694506067201,Robert F. Kennedy Elementary,Robert F. Kennedy Elementary,San Jose,1602 Lucretia Avenue,37.324997,-121.8524,0.1399183728268709,0.1863817097415507,0.26353719359124606,0.018638170974155,0.903
43694506071542,Stonegate Elementary,Stonegate Elementary,San Jose,2605 Gassmann Drive,37.308515,-121.83635,0.1943067741303227,0.918136645962733,0.33218381878723363,0.0860869565217391,0.76
43694506105795,Windmill Springs Elementary,Windmill Springs Elementary,San Jose,2880 Aetna Way,37.306212,-121.82428,0.2097299559048483,2.471297216699801,0.3750288201024015,0.2158300198807157,0.747
43694506115943,"Shirakawa (George, Sr.) Elementary","Shirakawa (George, Sr.) Elementary",San Jose,665 Wool Creek Drive,37.316085,-121.84974,0.5266413030272502,16.878742700956636,0.9512496034549774,0.5155919990060875,0.8270000000000001
43694684331799,Cupertino High,Cupertino High,Cupertino,10100 Finch Avenue,37.319663,-122.01041,0.2494367792842756,9.730625931445603,0.54198278631614,0.5417287630402385,0.102
43694684332474,Fremont High,Fremont High,Sunnyvale,575 West Fremont Avenue,37.352616,-122.035,0.1272369847967839,0.8247422680412373,0.26158600966242035,0.0634703763507638,0.237
43694684333316,Homestead High,Homestead High,Cupertino,21370 Homestead Road,37.3366,-122.04887,0.0806191480513631,0.1764413518886679,0.20238058814060297,0.0176441351888668,0.159
43694684334421,Lynbrook High,Lynbrook High,San Jose,1280 Johnson Avenue,37.300713,-122.00647,0.300612585765765,4.564456035767512,0.5048586571905712,0.3519622454048683,0.065
43694684334462,Monta Vista High,Monta Vista High,Cupertino,21840 McClellan Road,37.315469,-122.05719,0.2110368364956381,4.259158077735006,0.40743401536275453,0.2410281882528251,0.06
43694840100990,Solorsano Middle,Solorsano Middle,Gilroy,7121 Grenache Way,37.000729,-121.59304,0.2191224244382419,0.0480745341614906,0.3425885585985446,0.0,0.489
43694840114496,Dr. TJ Owens Gilroy Early College Academy,Dr. TJ Owens Gilroy Early College Academy,Gilroy,"5055 Santa Teresa Boulevard, PB17",36.968352,-121.56335,0.3827862045805536,3.579751552795031,0.5722591722429151,0.1273291925465838,0.3979999999999999
43694840118380,Christopher High,Christopher High,Gilroy,850 Day Road,37.038444,-121.60013,0.210724149074502,0.1974664679582712,0.33654713220776916,0.0197466467958271,0.38
43694844332839,Gilroy High,Gilroy High,Gilroy,750 West Tenth Street,36.997203,-121.57599,0.2980499459392217,6.444223602484471,0.534881129609835,0.4073291925465838,0.512
