ID,school,city,cluster,ndvi_mean,nlcd_canopy_mean,nlcd_high_canopy_frac,percent_eligible_frpm_k12
43694196046882,Joaquin Miller Middle,San Jose,0,0.32760157938829,5.30446442873161,0.3649664767396629,0.135
43694196046908,John Muir Elementary,San Jose,1,0.3185531321230339,6.315208735686886,0.4403540406213097,0.084
43694196046965,Manuel De Vargas Elementary,San Jose,0,0.309196268718652,6.2394799346486005,0.4251456448416783,0.449
43694196047005,Nelson S. Dilworth Elementary,San Jose,1,0.3486610746529754,9.723137262080735,0.5977373929677953,0.196
43694196047039,Murdock-Portal Elementary,San Jose,1,0.3549046214992253,8.648189506828249,0.5026544136491782,0.085
43694274330015,Yerba Buena High,San Jose,0,0.2980355139050638,6.257593300231104,0.3381964624854128,0.619
43694274330023,Santa Teresa High,San Jose,0,0.2748008222244516,4.246795267842841,0.3264090066588865,0.2789999999999999
43694274330031,Independence High,San Jose,0,0.2776473435969153,2.374533206414293,0.1488293549095702,0.47
43694274330692,Evergreen Valley High,San Jose,0,0.2651982604646718,2.7301940325828298,0.2081640124473732,0.2239999999999999
43694274332995,Andrew P. Hill High,San Jose,0,0.2511421978224755,3.5348356154353078,0.2429386029142563,0.6759999999999999
43694274333639,James Lick High,San Jose,0,0.222037574776511,0.9559242139947828,0.0719097524140771,0.6579999999999999
43694274334900,Mt. Pleasant High,San Jose,0,0.239037705945519,1.339377242439775,0.099340082009226,0.625
43694274335204,Oak Grove High,San Jose,0,0.3130028713816623,6.061873032144688,0.4119361865709893,0.562
43694274335428,William C. Overfelt High,San Jose,0,0.2258097026509024,0.9305265084776788,0.08133080108917,0.627
43694274335907,Piedmont Hills High,San Jose,0,0.2789684139539658,2.9825183625838028,0.2091343843672059,0.301
43694274337903,Silver Creek High,San Jose,0,0.2570397041352256,3.213433525694123,0.2139277754641599,0.446
43694350102616,Carolyn A. Clark Elementary,San Jose,1,0.306681030220358,6.104083911475586,0.4554815208039682,0.183
43694356047120,Cadwallader Elementary,San Jose,0,0.3018454486073365,4.8367138659808,0.2924084464499831,0.433
43694356047138,Evergreen Elementary,San Jose,1,0.3173600565327349,8.369530992567636,0.508645150660857,0.153
43694356047146,Holly Oak Elementary,San Jose,0,0.2567300797742412,2.532685601310718,0.1830109928331487,0.537
43694356047153,Katherine R. Smith Elementary,San Jose,0,0.2021007122133982,0.9972265700085128,0.0792029363575619,0.737
43694356047161,O. B. Whaley Elementary,San Jose,0,0.2254944041613941,2.9071912056127363,0.2151961300302512,0.679
43694356047179,Quimby Oak Middle,San Jose,0,0.267039736345433,3.0963133134415783,0.2254800563803107,0.305
43694356067193,Cedar Grove Elementary,San Jose,0,0.2472358823032691,2.188434714162807,0.1710218016072049,0.483
43694356085690,George V. LeyVa Intermediate,San Jose,0,0.2170410809475187,1.5715024484005309,0.118058670083749,0.617
43694356095988,John J. Montgomery Elementary,San Jose,0,0.2813691842186181,3.819501144164759,0.2392997711670479,0.589
43694356102081,Norwood Creek Elementary,San Jose,0,0.2577636850973359,3.131203207087811,0.2285370407658936,0.27
43694356105787,Millbrook Elementary,San Jose,0,0.2643509671441838,2.704148971223548,0.2205050523541041,0.308
43694356110159,Chaboya Middle,San Jose,1,0.3019870580040032,5.956586408424599,0.4557603328100759,0.1639999999999999
43694356111942,Silver Oak Elementary,San Jose,1,0.388603544750782,11.677253713856828,0.7231288843326956,0.087
43694356115851,Tom Matsumoto Elementary,San Jose,0,0.3076218655436465,4.624177383186125,0.3709075099537777,0.133
43694356117956,James Franklin Smith Elementary,San Jose,1,0.3244294716500884,7.324842571575015,0.476422347514095,0.1009999999999999
43694500127225,College Connection Academy,San Jose,0,0.3037690370131302,7.016433880061507,0.3783545068463059,0.653
43694506047195,Franklin Elementary,San Jose,0,0.1562397521606057,1.286834192931313,0.0991108080526101,0.8079999999999999
43694506047211,Captain Jason M. Dahl Elementary,San Jose,0,0.2599466980161231,2.4533019083794785,0.1918401903803029,0.856
