ID,school_name,city,address,latitude,longitude,percent_eligible_frpm_k12
43695916048003,Mariano Castro Elementary,Mountain View,500 Toft Street,37.394025,-122.09204,0.8270000000000001
43695916049464,Stevenson Elementary,Mountain View,750 San Pierre Way,37.403342,-122.08432,0.134
43695916049472,Crittenden Middle,Mountain View,1701 Rock Street,37.412214,-122.08588,0.237
43695916049480,Monta Loma Elementary,Mountain View,460 Thompson Avenue,37.408196,-122.09807,0.295
43695916049514,Theuerkauf Elementary,Mountain View,1625 San Luis Avenue,37.405889,-122.08497,0.386
43696094334728,Mountain View High,Mountain View,3535 Truman Avenue,37.358192,-122.06863,0.127
43696176048037,August Boeger Middle,San Jose,1944 Flint Avenue,37.347153,-121.80143,0.8190000000000001
43696176048060,Mt. Pleasant Elementary,San Jose,14275 Candler Drive,37.354085,-121.81104,0.797
43696176048078,Robert Sanders Elementary,San Jose,3411 Rocky Mountain Drive,37.351574,-121.80177,0.7859999999999999
43696176067227,Valle Vista Elementary,San Jose,1966 Flint Avenue,37.346613,-121.79994,0.657
43696256048086,Anderson (Alex) Elementary,San Jose,5800 Calpine Drive,37.24674,-121.81194,0.5589999999999999
43696256048094,Davis (Caroline) Intermediate,San Jose,5035 Edenview Drive,37.266422,-121.81192,0.618
43696256048102,Christopher Elementary,San Jose,565 Coyote Road,37.279388,-121.81761,0.639
43696256048110,Frost (Earl) Elementary,San Jose,530 Gettysburg Drive,37.247514,-121.83706,0.332
43696256048128,Edenvale Elementary,San Jose,285 Azucar Avenue,37.26157,-121.80265,0.6809999999999999
43696256048177,Stipe (Samuel) Elementary,San Jose,5000 Lyng Drive,37.271339,-121.80652,0.606
43696256067243,Santa Teresa Elementary,San Jose,6200 Encinal Drive,37.234751,-121.7959,0.29
43696256068167,Herman (Leonard) Intermediate,San Jose,5955 Blossom Avenue,37.239738,-121.83975,0.311
43696256072144,Sakamoto Elementary,San Jose,6280 Shadelands Drive,37.230822,-121.83919,0.266
43696256072151,Del Roble Elementary,San Jose,5345 Avenida Almendros,37.256532,-121.83565,0.419
43696256072177,Bernal Intermediate,San Jose,6610 San Ignacio Avenue,37.227088,-121.79097,0.419
43696256088306,Oak Ridge Elementary,San Jose,5920 Bufkin Drive,37.241059,-121.82115,0.345
43696256093066,Parkview Elementary,San Jose,330 Bluefield Drive,37.271595,-121.84578,0.645
43696256095400,Baldwin (Julia) Elementary,San Jose,280 Martinvale Lane,37.224098,-121.78423,0.35100000000000003
43696256097430,Taylor (Bertha) Elementary,San Jose,410 Sautner Drive,37.231017,-121.80809,0.24100000000000002
43696256099451,Hayes Elementary,San Jose,5035 Poston Drive,37.261806,-121.82651,0.564
43696256116081,Ledesma (Rita) Elementary,San Jose,1001 Schoolhouse Road,37.242642,-121.76267,0.35
43696336048185,Orchard Elementary,San Jose,921 Fox Lane,37.388461,-121.9002,0.501
43696414332904,Henry M. Gunn High,Palo Alto,780 Arastradero Road,37.399966,-122.13179,0.11699999999999999
43696414335782,Palo Alto High,Palo Alto,50 Embarcadero Road,37.437857,-122.15779,0.133
43696416048193,Addison Elementary,Palo Alto,650 Addison Avenue,37.446187,-122.15111,0.172
43696416048201,Herbert Hoover Elementary,Palo Alto,445 East Charleston Road,37.418279,-122.11344,0.067
43696416048235,El Carmelo Elementary,Palo Alto,3024 Bryant Street,37.425802,-122.13034,0.184
43696416048243,Ohlone Elementary,Palo Alto,950 Amarillo Avenue,37.439596,-122.12383,0.084
43696416048268,Fairmeadow Elementary,Palo Alto,500 East Meadow Drive,37.422224,-122.11843,0.122
43696416048292,Duveneck Elementary,Palo Alto,705 Alester Avenue,37.449945,-122.13482,0.136
43696416048300,Greendell,Palo Alto,4120 Middlefield Road,37.417325,-122.10565,0.077
43696416048326,Juana Briones Elementary,Palo Alto,4100 Orme Street,37.408634,-122.1319,0.10800000000000001
43696416048359,Palo Verde Elementary,Palo Alto,3450 Louis Road,37.431406,-122.11369,0.126
43696416048375,Packard Children's Hospital/Stanford,Palo Alto,725 Welch Road,37.437362,-122.17484,0.2
43696416048409,Walter Hays Elementary,Palo Alto,1525 Middlefield Road,37.4424,-122.14356,0.17
43696416060065,Frank S. Greene Jr. Middle,Palo Alto,750 North California Avenue,37.439277,-122.13483,0.16899999999999998
43696416060081,Jane Lathrop Stanford Middle,Palo Alto,480 East Meadow Drive,37.422025,-122.11881,0.107
43696416115562,Barron Park Elementary,Palo Alto,800 Barron Avenue,37.412612,-122.13642,0.299
43696416118707,Ellen Fletcher Middle,Palo Alto,655 Arastradero Road,37.404638,-122.12726,0.136
43696664330080,Gunderson High,San Jose,620 Gaundabert Lane,37.258238,-121.85269,0.546
43696664333522,Leland High,San Jose,6677 Camden Avenue,37.220338,-121.84737,0.113
43696664333795,Abraham Lincoln High,San Jose,555 Dana Avenue,37.329212,-121.92388,0.562
43696664335949,Pioneer High,San Jose,1290 Blossom Hill Road,37.247184,-121.88445,0.308
