ID,school_name,city,address,latitude,longitude,percent_eligible_frpm_k12
43694506047237,G. W. Hellyer Elementary,San Jose,725 Hellyer Ave,37.284831,-121.82029,0.789
43694506047245,Jeanne R. Meadows Elementary,San Jose,1250 Taper Lane,37.320969,-121.83953,0.8109999999999999
43694506047252,Santee Elementary,San Jose,1313 Audubon Drive,37.328062,-121.84671,0.899
43694506047260,Lairon College Preparatory Academy,San Jose,3975 Mira Loma,37.28238,-121.82885,0.818
43694506047278,Sylvandale Middle,San Jose,653 Sylvandale Avenue,37.287864,-121.82531,0.745
43694506067201,Robert F. Kennedy Elementary,San Jose,1602 Lucretia Avenue,37.324997,-121.8524,0.903
43694506071542,Stonegate Elementary,San Jose,2605 Gassmann Drive,37.308515,-121.83635,0.76
43694506105795,Windmill Springs Elementary,San Jose,2880 Aetna Way,37.306212,-121.82428,0.747
43694506115943,"Shirakawa (George, Sr.) Elementary",San Jose,665 Wool Creek Drive,37.316085,-121.84974,0.8270000000000001
43694684331799,Cupertino High,Cupertino,10100 Finch Avenue,37.319663,-122.01041,0.102
43694684332474,Fremont High,Sunnyvale,575 West Fremont Avenue,37.352616,-122.035,0.237
43694684333316,Homestead High,Cupertino,21370 Homestead Road,37.3366,-122.04887,0.159
43694684334421,Lynbrook High,San Jose,1280 Johnson Avenue,37.300713,-122.00647,0.065
43694684334462,Monta Vista High,Cupertino,21840 McClellan Road,37.315469,-122.05719,0.06
43694840100990,Solorsano Middle,Gilroy,7121 Grenache Way,37.000729,-121.59304,0.489
43694840114496,Dr. TJ Owens Gilroy Early College Academy,Gilroy,"5055 Santa Teresa Boulevard, PB17",36.968352,-121.56335,0.39799999999999996
43694840118380,Christopher High,Gilroy,850 Day Road,37.038444,-121.60013,0.38
43694844332839,Gilroy High,Gilroy,750 West Tenth Street,36.997203,-121.57599,0.512
43694846047286,Luigi Aprea Elementary,Gilroy,9225 Calle del Rey,37.025388,-121.60346,0.36
43694846047294,El Roble Elementary,Gilroy,930 Third Street,37.008076,-121.58551,0.575
43694846047302,Eliot Elementary,Gilroy,475 Old Gilroy Street,37.005988,-121.5617,0.78
43694846047310,Glen View Elementary,Gilroy,600 Eighth Street,37.001141,-121.57424,0.74
43694846047328,Las Animas Elementary,Gilroy,6550 Cimino Street,36.98984,-121.58155,0.413
43694846047336,Rucker Elementary,Gilroy,325 Santa Clara Avenue,37.054209,-121.58602,0.6409999999999999
43694846098214,South Valley Middle,Gilroy,7881 Murray Avenue,37.016304,-121.56703,0.556
43694846106991,Rod Kelley Elementary,Gilroy,8755 Kern Avenue,37.021191,-121.59161,0.541
43694846111785,Brownell Middle,Gilroy,7800 Carmel Street,37.01106,-121.57878,0.563
43694926047351,Lakeside Elementary,Los Gatos,19621 Black Road,37.193221,-122.01823,0.109
43695006047369,Loma Prieta Elementary,Los Gatos,23800 Summit Road,37.124979,-121.93844,0.135
43695006093058,C. T. English Middle,Los Gatos,23800 Summit Road,37.124979,-121.93844,0.11
43695186047377,Almond Elementary,Los Altos,550 Almond Avenue,37.384953,-122.10179,0.11599999999999999
43695186047385,Ardis G. Egan Junior High,Los Altos,100 West Portola Avenue,37.396783,-122.11629,0.10099999999999999
43695186047401,Covington Elementary,Los Altos,205 Covington Road,37.370625,-122.10778,0.08199999999999999
43695186047435,Georgina P. Blach Junior High,Los Altos,1120 Covington Road,37.364574,-122.08286,0.044000000000000004
